fish	/fiʃ/	n.(pl.fish(es))鱼;鱼肉v.捕鱼;钓鱼
forbid	/fə'bid/	v.禁止,不许
force	/fɔ:s/	n.力量,力;势力;(pl.)(总称)军队v.强迫
fore	/fɔ:/	ad.在前面a.先前的;在前部的n.前部
forecast	/'fɔ:kɑ:st/	v./n.预测,预报
forehead	/'fɔrid/	n.前额;(任何事物的)前部
foreign	/'fɔrin/	a.外国的,(to)无关的;外来的;异质的
foreigner	/'fɔrinə/	n.外国人
foremost	/'fɔ:məust/	a.最先的;最初的;主要的ad.首要地
foresee	/fɔ:'si:/	v.预见,预知
forest	/'fɔrist/	n.森林
forever	/fə'revə/	adv.(forever)永远;总是
forge	/fɔ:dʒ/	v.锻造,伪造n.锻工车间;锻炉
forget	/fə'ɡet/	v.忘记,遗忘
forgive	/fə'ɡiv/	v.原谅,饶恕
fork	/fɔ:k/	n.叉,耙;叉形物;餐叉
form	/fɔ:m/	n.形状,形式;表格v.组成,构成;形成
formal	/'fɔ:məl/	a.正式的;形式的
format	/'fɔ:mæt/	n.(出版物的)开本,版式,格式vt.设计;安排
formation	/'fɔ:mə/	n.形成;构成;组织;构造;编制;塑造
former	/'fɔ:mə/	a.以前的,在前的pron.前者
formidable	/'fɔ:midəbl/	a.强大的;令人敬畏的;可怕的;艰难的
formula	/'fɔ:mjulə/	n.(pl.formulae)公式;规则;分子式;药方
formulate	/'fɔ:mjuleit/	v.用公式表示;规划;设计;系统地阐述
forth	/fɔ:θ/	ad.向前;向外,往外
forthcoming	/'fɔ:θ'kʌmiŋ/	a.即将到来的;准备好的;乐意帮助的;n.来临
fortnight	/'fɔ:tnait/	n.两星期
fortunate	/'fɔ:tʃənit/	a.幸运的,侥幸的
fortune	/'fɔ:tʃən,-tʃu:n/	n.运气;命运;财产;财富
forty	/'fɔ:ti/	num./a.四十pron.四十(个,只...)
forum	/'fɔ:rəm/	n.论坛,讨论会
forward	/'fɔ:wəd/	ad.(alsoforwards)向前a.向前的v.转交
fossil	/'fɔsəl/	n.化石
foster	/'fɔstə/	vt.养育;收养;怀抱;鼓励a.收养的n.养育者
foul	/faul/	a.污秽的;邪恶的v.弄脏;妨害;犯规n.犯规
found	/faʊnd/	vt.建立;创立;创办;使有根据;铸造;熔制
foundation	/faun'deiʃən/	n.基础,根本,建立,创立;地基,基金,基金会
fountain	/'fauntin/	n.泉水,喷泉,源泉
four	/fɔ:/	num.四pron./a.四(个,只...)
fourteen	/'fɔ:'ti:n/	num.十四,十四个
fox	/fɔks/	n.狐狸
fraction	/'frækʃən/	n.碎片,小部分,一点儿;分数
fracture	/'fræktʃə/	n.裂缝(痕);骨折v.(使)断裂,(使)折断
fragile	/'frædʒail/	a.易碎的,脆的,易损坏的;虚弱的,脆弱的
fragment	/'fræɡmənt/	n.碎片,小部分,片断
fragrant	/'freiɡrənt/	a.香的;芬芳的
frame	/freim/	n.框架;体格;骨架;组织;机构v.设计;制定
framework	/'freimwə:k/	n.构架;框架;结构;组织;机构
frank	/fræŋk/	a.坦白的,直率的
fraud	/frɔ:d/	n.欺诈,诈骗;欺骗(行为);骗子;假货
free	/fri:/	a.自由的;免费的;免税的;空闲的vt.释放
freedom	/'fri:dəm/	n.自由,自主,免除,特权
freeze	/fri:z/	v.使结冰,使凝固
freight	/freit/	n.货物,货运,运费
frequency	/'frikwənsi/	n.频率,周率
frequent	/'fri:kwənt,fri'kwent/	a.时常发生的,频繁的
fresh	/freʃ/	a.新鲜的,无经验的
friction	/'frikʃən/	n.磨擦,摩擦力
Friday	/ˈfraɪdeɪ,ˈfraɪdi/	n.星期五
fridge	/fridʒ/	n.(refrigerator的略语)冰箱
friend	/frend/	n.朋友
friendly	/'frendli/	a.友好的,友谊的
friendship	/ˈfrendʃɪp/	n.友谊,友好
fright	/frait/	n.恐怖
frighten	/'fraitən/	v.使惊恐
fringe	/frindʒ/	n.边缘;(窗帘)缘饰;额前垂发vt.饰…的边
frog	/frɔɡ/	n.蛙
from	/强frɔm,弱frəm/	prep.从,自从;由于;离;根据,按;去除
front	/frʌnt/	a.前面的,前部的n.正面;前线,战线v.面对
frontier	/'frʌntjə/	n.国境,边境;尖端,新领域
frost	/frɔst/	n.霜,霜冻,严寒
frown	/fraun/	v.皱眉
fruit	/fru:t/	n.水果,果实;成果,效果
fruitful	/'fru:tful/	a.多产的;果实累累的,富有成效的
frustrate	/frʌs'treit/	vt.挫败,阻挠,使灰心
fry	/frai/	v.油煎,油炸
fuel	/'fjuəl/	n.燃料vt.给…加燃料
fulfill	/ful'fil/	v.(fulfil)完成,履行,实践,满足
full	/ful/	a.(of)满的,充满的a./ad.完全,充分
fume	/fju:m/	n.(浓烈或难闻的）烟,气,汽
fun	/fʌn/	n.玩笑,娱乐;有趣的人(或事物)
function	/'fʌŋkʃən/	n.功能,作用;(pl.)职务;函数v.起作用
fund	/fʌnd/	n.资金,基金;存款,现款;(知识等的)累积
fundamental	/,fʌndə'mentəl/	a.基础的,基本的n.(pl.)基本原则,基本原理
funeral	/'fju:nərəl/	n.丧葬,葬礼
funny	/'fʌni/	a.滑稽的,可笑的
fur	/fə/	n.毛,毛皮
furious	/'fju:riəs/	a.狂怒的,狂暴的,猛烈的
furnace	/'fə:nis/	n.炉子,熔炉
furnish	/'fə:niʃ/	v.供应,提供;装备,布置
furniture	/'fə:nitʃə/	n.家具
further	/'fə:ðə/	ad./a.更远,更往前;进一步v.促进,增进
furthermore	/'fə:ðəmɔ:/	ad.而且,此外
fuse	/fju:z/	n.保险丝,导火线,引信v.熔化,熔合
fuss	/fʌs/	n./v.忙乱,大惊小怪
futile	/'fju:tail/	a.无效的,无用的,无希望的
future	/'fju:tʃə/	n.将来,未来;前途,前景a.将来的,未来的
gain	/ɡein/	v.获得;增加;表等走快n.增进,增加;收益
galaxy	/'ɡæləksi/	n.星系;(theGalaxy)银河(系);一群显赫的人
gallery	/'ɡæləri/	n.长廊,画廊,美术馆
gallon	/'ɡælən/	n.加仑
gallop	/'ɡæləp/	v./n.奔驰,飞奔
gamble	/'ɡæmbl/	n./v.投机,冒险;赌博
game	/ɡeim/	n.游戏,娱乐;比赛;(pl.)运动会vi.赌博
gang	/ɡæŋ/	n.一帮,一群,一伙
gaol	/dʒeil/	n.(jail)监狱;(不加冠词)监禁vt.使…坐牢
gap	/ɡæp/	n.缺口;差距;空白;缺乏
garage	/'ɡærɑ:dʒ,ɡə'r-/	n.车库,飞机库;修车厂
garbage	/'ɡɑ:bidʒ/	n.垃圾
garden	/'ɡɑ:dn/	n.(菜,花)园;公园
garlic	/'ɡɑ:lik/	n.蒜,大蒜粉
garment	/'ɡɑ:mənt/	n.(一件)衣服
gas	/ɡæs/	n.气体;煤气;汽油;毒气vt.毒(死);加油
gasoline	/'ɡæsəli:n/	n.(gasolene)汽油
gasp	/ɡɑ:sp,ɡæsp/	n.喘息,气喘v.喘息;气吁吁地说
gate	/ɡeit/	n.大门;入口;观众人数,门票收入
gather	/'ɡæðə/	v.聚集,聚拢;推测,推断
gauge	/ɡeidʒ/	n.标准尺寸;规格;量规,量表v.测量
gay	/ɡei/	a.快乐的,愉快的,色彩鲜艳的n.同性恋
gaze	/ɡeiz/	v./n.凝视,注视
gear	/ɡiə/	n.齿轮,传动装置v.(to)调整,使适合
gender	/'dʒendə/	n.(生理上的)性;(名词、代词等的)性
gene	/dʒi:n/	n.基因
general	/'dʒenərəl/	a.一般的,普通的;总的,大体的n.将军
generalize	/'dʒenərəlaiz/	v.(generalise)归纳,概括;推广,普及
generate	/'dʒenəreit/	vt.产生,发生;生殖
generation	/,dʒenə'reiʃən/	n.产生,发生;一代(人)
generator	/'dʒenəreitə/	n.发电机,发生器
generous	/'dʒenərəs/	a.宽宏大量的,慷慨的
genetic	/dʒi'netik/	a.遗传(学)的n./-s/遗传学
genius	/'dʒi:njəs/	n.天才
gentle	/'dʒentl/	a.和蔼的,文雅的,有礼貌的
gentleman	/'dʒentlmən/	n.绅士,先生
gently	/'dʒentli/	ad.文雅地,有礼貌地;轻轻地
genuine	/'dʒenjuin/	a.真正的,名副其实的
geography	/dʒi'ɔɡrəfi/	n.地理(学)
geology	/dʒi'ɔlədʒi/	n.地质(学)
geometry	/dʒi'ɔmitri/	n.几何(学)
germ	/dʒə:m/	n.微生物,细菌
gesture	/'dʒestʃə/	n.姿势,姿态,手势v.做手势
get	/ɡet/	v.获得,得到;使,使得;变得,成为;到达
ghost	/ɡəust/	n.鬼魂,幽灵
giant	/'dʒaiənt/	n.巨人a.巨大的
gift	/ɡift/	n.礼品,赠品;天赋,才能
gigantic	/,dʒai'ɡæntik/	a.巨大的,庞大的
giggle	/'ɡiɡl/	vi.／n.痴笑;咯咯地笑vt.咯咯地笑着说
girl	/ɡə:l/	n.少女,姑娘,女孩;女职员
give	/ɡiv/	v.给,授予;供给;献出,让步;捐赠;发表
glad	/ɡlæd/	a.高兴的,快活的;乐意的,情愿的
glamor	/'ɡlæmə/	n.(glamour)魅力;魔法vt.迷惑
glance	/ɡlɑ:ns,ɡlæns/	v.(at,over)扫视n.匆匆看,一瞥,一眼
glare	/ɡlεə/	vi.怒目而视;发射强光n.强光;怒视;炫耀
glass	/ɡlɑ:s,ɡlæs/	n.玻璃;玻璃杯;镜子;(pl.)眼镜
glide	/ɡlaid/	n./v.溜,滑行;(时间)消逝
glimpse	/ɡlimps/	n./v.一瞥,瞥见
glitter	/'ɡlitə/	n.光辉,灿烂v.闪闪发光;闪耀
global	/'ɡləubəl/	a.球形的;全球的,全世界的;全面的
globe	/ɡləub/	n.球体,地球仪;地球,世界
gloomy	/'ɡlu:mi/	a.阴暗的,阴沉的,令人沮丧的,阴郁的
glorious	/'ɡlɔ:riəs/	a.壮丽的,辉煌的;光荣的
glory	/'ɡlɔ:ri/	n.光荣,荣誉
glove	/ɡlʌv/	n.手套
glow	/ɡləu/	v.发热,发光,发红n.白热
glue	/ɡlu:/	n.胶,胶水v.胶合,粘贴
go	/ɡəu/	v.去,离开;走;放置;变成;运转n.围棋
goal	/ɡəul/	n.目的,目标;守门员,球门;进球
goat	/ɡəut/	n.山羊
god	/ɡɔd/	n.上帝(小写god泛指所有的“神,神像”)
gold	/ɡəuld/	n.金,黄金;金币;金黄色a.金的,金制的
golden	/'ɡəuldən/	a.金黄色的;贵重的,极好的
golf	/ɡɔlf/	n.高尔夫球
good	/ɡud/	a.好的;善良的;擅长的;乖的n.好处;利益
goodby	/,ɡud'bai/	int.(goodbye)再见
goodness	/'ɡudnis/	n.善良,仁慈;(食物等)精华int.天哪
goods	/ɡudz/	n.(pl.)货物,商品
goose	/ɡu:s/	n.(pl.geese)鹅,雌鹅,鹅肉
gorgeous	/'ɡɔ:dʒəs/	a.华丽的;灿烂的;美丽的;宜人的;棒的
gossip	/'ɡɔsip/	n./v.(说)闲话,闲聊
govern	/'ɡʌvən/	v.统治,管理;决定,支配
government	/'ɡʌvənmənt/	n.政府,内阁;管理,支配;政治,政体
governor	/'ɡʌvənə/	n.统治者,管理者,总督,州(省)长
gown	/ɡaun/	n.长袍,特殊场合穿的长服
grab	/ɡræb/	v./n.(at)抓(住);夺(得)
grace	/ɡreis/	n.优美,文雅;恩惠,恩泽;宽限,缓刑;感恩祷告
graceful	/'ɡreisful/	a.优美的,文雅的,大方的
gracious	/'ɡreiʃəs/	a.亲切的,客气的;宽厚的,仁慈的
grade	/ɡreid/	n.等级,级别;年级;分数v.分等,分级
gradual	/'ɡrædʒuəl/	a.逐渐的,逐步的
graduate	/'ɡrædjueit,-dʒu-/	n.大学毕业生,研究生v.大学毕业a.毕了业的
grain	/ɡrein/	n.谷物,谷类;颗粒,细粒
gramme	/ɡræm/	n.(gram)克
grammar	/'ɡræmə/	n.语法,语法书
grand	/ɡrænd/	a.盛大的,豪华的;重大的,主要的
grandmother	/'ɡrænd,mʌðə/	n.祖母,外祖母
grant	/ɡrɑ:nt,ɡrænt/	v.同意,准予;授予n.授予物;津贴;转让证书
grape	/ɡreip/	n.葡萄
graph	/ɡrɑ:f,ɡræf/	n.图表,曲线图
graphic	/'ɡræfik/	a.绘画似的,图解的,生动的
grasp	/ɡrɑ:sp,ɡræsp/	v./n.抓住,抓紧;掌握,领会
grass	/ɡrɑ:s,ɡræs/	n.草,草地
grateful	/'ɡreitful/	a.(to,for)感激的;感谢的
gratitude	/'ɡrætitju:d/	n.感激,感谢
grave	/ɡreiv/	n.坟墓a.严肃的,庄重的
gravity	/'ɡræviti/	n.重力,引力;严肃,庄重
graze	/ɡreiz/	vi.吃青草vt.放牧;擦伤;掠过.n.擦伤(处)
grease	/ɡri:s/	n.动物脂,油脂,润滑脂v.抹油,润滑
great	/ɡreit/	a.伟大的;重要的;大量的;很好的;美好的
greedy	/ɡri:di/	a.贪吃的,贪婪的,渴望的
green	/ɡri:n/	a.绿色的;生的;未成熟的n.绿色;蔬菜;植物
greenhouse	/'ɡri:nhaus/	n.温室
greet	/ɡri:t/	v.致敬,敬意,迎接;扑(鼻),入(耳),触(目)
greeting	/'ɡri:tiŋ/	n.问候,致敬
grey	/ɡrei/	n./a.(gray)灰色(的)
grief	/ɡri:f/	n.悲伤,悲痛;悲伤的事,悲痛的缘由
grieve	/ɡri:v/	v.使悲伤,使伤心
grim	/ɡrim/	a.严酷的,令人害怕的;不愉快的,讨厌的
grin	/ɡrin/	n./vi.露齿而笑,咧嘴一笑
grind	/ɡraind/	v.磨(碎),碾(碎)
grip	/ɡrip/	v./n.紧握,抓紧;掌握
groan	/ɡrəun/	v./n.呻吟
grocer	/'ɡrəusə/	n.食品商,杂货商
grope	/ɡrəup/	n./v.摸索,探索
gross	/ɡrəus/	a.总的,毛(重)的;粗鲁的,粗俗的n.总额
ground	/ɡraund/	n.地,地面,土地;场地,场所;理由,根据
group	/ɡru:p/	n.群,组v.分组
grow	/ɡrəu/	v.生长,成长;渐渐变成;栽培,种植;发展
grown-up	/ˌɡrəʊn ˈʌp , ˈɡrəʊn ʌp/	a.成长的,成熟的,成人的n.成年人
growth	/ɡrəuθ/	n.生长,增长,发展
guarantee	/,ɡærən'ti:/	n.保证,保证书v.保证,担保
guard	/ɡɑ:d/	v./n.保卫,守卫,提防n.哨兵,警卫,看守
guess	/ɡes/	v./n.猜测,推测;以为;猜想/同/surmise
guest	/ɡest/	n.客人,宾客,旅客
guidance	/'ɡaidəns/	n.引导,指导
guide	/ɡaid/	n.领路人;指南,导游v.领路;指导;支配;管理
guideline	/'ɡaidlain/	n.指导方针,指导原则,准则,标准
guilt	/ɡilt/	n.罪过,内疚
guilty	/'ɡilti/	a.(of)有罪的,内疚的
guitar	/ɡi'tɑ:/	n.吉他vi.弹吉他
gulf	/ɡʌlf/	n.海湾
gum	/ɡʌm/	n.树胶;口香糖
gun	/ɡʌn/	n.枪,炮,手枪
gut	/ɡʌt/	n./pl./胆量;内脏a.本能的vt.取出内脏
guy	/ɡai/	n.家伙,人
gymnasium	/dʒim'neiziəm/	n.(gym)体育馆,健身房
habit	/'hæbit/	n.习惯,习性,脾性
habitat	/'hæbitæt/	n.(动物的)栖息地,(植物的)产地
hail	/heil/	v.下雹;欢呼,欢迎n.雹
hair	/hεə/	n.毛发,头发;绒毛,毛状物
half	/hɑ:f,hæf/	n.半,一半a.一半的,不完全的ad.一半地
hall	/hɔ:l/	n.礼堂,会堂,办公大楼,门厅
halt	/hɔ:lt/	n.止步,停步,停止前进v.止步,(使)停止
ham	/hæm/	n.火腿
hamburger	/'hæmbə:ɡə/	n.汉堡包,牛肉饼
hammer	/'hæmə/	n.铁锤,槌,榔头v.锤击,敲打
hamper	/'hæmpə/	v.妨碍,阻碍,牵制
hand	/hænd/	n.手,人手,雇员;专门业人员;指针v.交
handbook	/'hændbuk/	n.手册,指南
handful	/'hændful/	n.一把;少数;一小撮
handicap	/'hændikæp/	v.妨碍n.(身体或智力方面的)缺陷;不利条件
handkerchief	/'hæŋkətʃif,-tʃi:f/	n.手帕
handle	/'hændl/	n.柄,把手,拉手v.处理,对待,操纵;触,抚养
handsome	/'hænsəm/	a.漂亮的,英俊的;慷慨的,数量可观的
handwriting	/'hænd,raitiŋ/	n.笔迹,手迹,书法
handy	/'hændi/	a.手边的,近便的;方便的
hang	/'hæŋ/	v.悬挂,垂吊;吊死,绞死
happen	/'hæpən/	v.(偶然)发生;碰巧,恰好
happy	/'hæpi/	a.快乐的,幸福的;乐意的;令人满意的
harassment	/'hærəsmənt/	n.骚扰,扰乱;烦恼,烦乱
harbor	/'hɑ:bə/	n.(harbour)海港;避难所v.隐匿,窝藏
hard	/hɑ:d/	a.坚硬的;结实的;困难的;难忍的;严厉的
harden	/'hɑ:dən/	v.(使)变硬
hardly	/'hɑ:dli/	ad.几乎不,简直不;仅仅
hardship	/'hɑ:dʃip/	n.艰难,困苦
hardware	/'hɑ:dwεə/	n.五金,金属制品;硬件
harm	/hɑ:m/	n./v.伤害,损害,危害
harmony	/'hɑ:məni/	n.协调,和谐;融洽
harness	/'hɑ:nis/	v.治理,利用n.马具,挽具
harsh	/hɑ:ʃ/	a.粗糙的;(声音)刺耳的;苛刻的,严酷的
harvest	/'hɑ:vist/	n.收获,收成;成果,后果v.收获,收割
haste	/heist/	n.匆忙,急速;草率v.赶快;匆忙
hasty	/'heisti/	a.匆忙的,仓促的;草率的
hat	/hæt/	n.帽子(一般指有边的帽子)
hatch	/hætʃ/	v.孵,孵出;策划,图谋n.舱口,小门
hate	/heit/	v.恨,憎恨;不愿,不喜欢n.恨,憎恶
hatred	/'heitrid/	n.憎恨,憎恶,怨恨
haul	/hɔ:l/	v.拖曳,拖运,用力拖
have	/hæv,弱həv,əv,v/	v.有,具有;体会,经受;从事;使;吃,喝
hawk	/hɔ:k/	n.鹰,隼
hay	/hei/	n.干草
hazard	/'hæzəd/	n.危险,冒险,危害v.冒险,拼命
he	/hi:,弱hi,i:,i/	pron.他;(不论性别的)一个人
head	/hed/	n.头;顶部;领导,首脑v.主管;位于..顶部
headache	/'hedeik/	n.头痛
heading	/'hediŋ/	n.标题
headline	/'hedlain/	n.大字标题,新闻标题
headmaster	/'hed'mɑ:stə/	n.校长
headquarters	/,hed'kwɔ:təz/	n.司令部,指挥部;总部,总局
heal	/hi:l/	v.治愈,愈合
health	/helθ/	n.健康,健康状况;卫生
healthy	/'helθi/	a.健康的,健壮的;有益健康的,卫生的
heap	/hi:p/	n.(一)堆,大量,许多v.(up)堆,堆起
hear	/hiə/	v.听见;审讯;(from)收到..的信/电话;听说
hearing	/'hiəriŋ/	n.听,倾听;听力;审讯
heart	/hɑ:t/	n.心(脏);内心,感情;热忱;中心,要点
heat	/hi:t/	n.热,热度;热烈,激烈v.(给)加热,(使)变热
heave	/hi:v/	v.(用力)举,提,拉;扔;拖;呕吐n.举起
heaven	/'hevən/	n.天,天空,天堂;(Heaven)上帝,神
heavy	/'hevi/	a.重的,重型的;沉重的,大量的,猛烈的
hedge	/hedʒ/	n.篱笆,树篱,障碍物v.用树篱围住
heel	/hi:l/	n.脚后跟,踵,鞋跟
height	/hait/	n.高,高度;(常pl.)高地,高处
heighten	/'haitən/	v.提高,升高
heir	/εə/	n.继承人
helicopter	/'helikɔptə/	n.直升(飞)机
hell	/hel/	n.地狱,阴间;苦境,极大痛苦
hello	/he'ləu,hə-/	int.英(美)喂,你好(用来打招呼或引起注意)
helmet	/'helmit/	n.头盔,钢盔
help	/help/	v.帮(援)助;有助于;/呼救/救命n.帮助(手)
helpful	/'helpful/	a.(to)有帮助的,有益的,有用的
hemisphere	/'hemi,sfiə/	n.半球
hen	/hen/	n.母鸡
hence	/hens/	ad.从此,今后;因此
henceforth	/'hens'fɔ:θ/	ad.今后
her	/hə:,弱ə:,hə,ə/	pron./she的宾格/她;/she的所有格/她的
herb	/hə:b,ə:b/	n.药草,(调味用的)香草,草本植物
herd	/hə:d/	n.群,兽群,牛群v.放牧,群集
here	/hiə/	ad.在(到,向)这里;这时;在这一点上
heritage	/'heritidʒ/	n.遗产,继承物;传统
hero	/'hiərəu/	n.英雄,勇士;男主角,男主人公
heroic	/hi'rəuik/	a.英雄的,英勇的,崇高的
heroin	/'herəuin/	n.海洛因
heroine	/'herəuin/	n.女英雄;女主角
hers	/hə:z/	pron./she的物主代词/她的(所有物)
herself	/hə:'self/	pron./反身代词/她自己;她亲自,她本人
hesitate	/'heziteit/	v.犹豫,踌躇;含糊,支吾
hi	/hai/	interj.(hey)嗨!喂!
hide	/haid/	v.隐藏,躲藏;隐瞒n.皮革,兽皮
hierarchy	/'haiə,rɑ:ki/	n.等级制度;统治集团,领导层
high	/hai/	a.高的,高度的,高级的,高尚的ad.高高地
highland	/'hailənd/	n.高地,高原
highlight	/'hailait/	v.使显著,使突出;强调n.最精彩的部分
highly	/'haili/	ad.高度地,很,非常;赞许地
highway	/'haiwei/	n.公路,大路
hijack	/'haidʒæk/	v.劫持,劫机,拦路抢劫
hike	/haik/	n.徒步旅行;增加vi.徒步旅行vt.提高
hill	/hil/	n.小山,山岗,高地;/pl./丘陵(地带)
him	/him,弱im/	pron.他(he的宾格形式)
himself	/him'self/	pron./反身代词/他自己;他本人
hinder	/ˈhɪndər/	v.(from)阻止,妨碍a.后面的
hinge	/hindʒ/	n.合页,铰链vi.依…而定
hint	/hint/	n.暗示,提示,线索v.暗示,示意
hip	/hip/	n.臀部,髋;屋脊
hire	/haiə/	n./v.雇用,租借
his	/hiz,弱iz/	pron./he的所有格/物主代词/他的(所有物)
historian	/his'tɔ:riən/	n.历史学家
historic	/his'tɔrik/	a.有历史意义的;历史的
historical	/his'tɔrikəl/	a.历史的;有关历史的
history	/'histəri/	n.历史,历史学;来历,经历
hit	/hit/	v.打,击;碰撞n.击中;成功而风行一时的事物
hitherto	/,hiðə'tu:/	ad.到目前为止,迄今
hobby	/'hɔbi/	n.业余爱好,嗜好,兴趣
hoist	/hɔist/	v.举起,升起,吊起
hold	/həuld/	v.拿着;保有;托住;举行;继续n.握住;船舱
holder	/'həuldə/	n.持有者,占有者;(台,架等)支持物
hole	/həul/	n.洞,孔
holiday	/'hɔlədi/	n.假日,节日,假期,休假
hollow	/'hɔləu/	a.空的,中空的;空洞的,空虚的v.挖空,凿空
holy	/'həuli/	a.神圣的,圣洁的
home	/həum/	ad.回家,在家n.家;家乡a.家庭的;家乡的
homework	/'həumwə:k/	n.(学生的)家庭作业、课外人员
homogeneous	/,hɔmə'dʒi:niəs/	a.同种类的,同性质的,有相同特征的
honest	/'ɔnist/	a.诚实的,正直的,老实的
honey	/'hʌni/	n.蜜,蜂蜜
honor	/'ɔnə/	n.(honour)尊敬,敬意;荣誉,光荣v.尊敬
honorable	/'ɔnərəbl/	a.(honourable)可敬的;荣誉的,光荣的
hook	/huk/	n.钩,吊钩,钩状物v.钩住
hop	/hɔp/	v.人单足跳;跳上(车等)n.蹦跳;短程飞行
hope	/həup/	n.希望,期望;希望的人或事v.希望,期望
hopeful	/'həupful/	a.给人希望的,抱有希望的
horizon	/hə'raizən/	n.地平线;眼界,见识
horizontal	/'hɔri'zɔntəl/	a.地平线的;水平的
horn	/hɔ:n/	n.(牛羊等的)角;号,喇叭;角状物;角制品
horrible	/'hɔrəbl/	a.令人恐惧的,可怕的;极讨厌的,糟透的
horror	/'hɔrə/	n.恐怖,战栗
horse	/hɔ:s/	n.马;跳马,鞍马v.骑马
horsepower	/'hɔ:s,pauə/	n./机/马力
hose	/həuz/	n.水龙带,软管v.用软管(淋浇,冲洗)
hospital	/'hɔspitəl/	n.医院
hospitality	/,hɔspi'tæləti/	n.好客,殷勤,款待
host	/həust/	n.主人;旅店老板;节目主持人;一大群,许多
hostage	/'hɔstidʒ/	n.人质
hostess	/'həustis/	n.女主人,女主持人
hostile	/'hɔstail,-təl/	a.敌对的,敌方的,敌意的
hot	/hɔt/	a.(炎)热的;辣的;急躁的;激动的;热衷的
hotel	/həu'tel/	n.旅馆
hound	/haund/	n.猎狗;卑鄙的人vt.用猎狗追,追逐
hour	/'auə/	n.小时,钟点;时刻;课时,工作时间
house	/haus,hauz/	n.房屋;商业机构;/H-/议院v.给...房子住
household	/'haushəuld/	n.家庭,家人a.家庭(务)的,家常的
housewife	/'hauswaif/	n.家庭主妇
housework	/'hauswə:k/	n.家务,家事(不可数)
housing	/ˈhaʊzɪŋ/	n.住房,住房供给;(外、阀)壳,防护罩
hover	/'hɔvə,'hʌ-/	vi.(鸟)盘旋,翱翔,(人)逗留在附近徘徊
how	/hau/	ad..(表示方法、手段、状态)怎样;如何
however	/hau'evə/	ad.然而,可是,不过,无论如何conj.无论
